id_unidade;Nome_Fantasia;SUS;Coord
2077396;HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;S;-20.828160368035164, -49.39757360284852
6270131;UPA JAGUARE;S;-20.777116305694612, -49.3663881299944
2097613;HOSPITAL INFANTE D HENRIQUE;S;-20.822334342082787, -49.390358198560946
2052474;UNIMED SJRPRETO COOPERATIVA DE TRABALHO MEDICO;S;-20.81923087345461, -49.39775730431958
7706766;UPA TANGARA ESTORIL;S;-20.839732303564183, -49.37452360605708
2097117;HOSPITAL AUSTA SAO JOSE DO RIO PRETO;N;-20.822843020780837, -49.365022892913025
2758350;LABORATORIO TAJARA FILIAL SAO JOSE DO RIO PRETO;N;-20.818556031506883, -49.38715904939191
4376439;HOSPITAL RIO PRETO;N;-20.84247684477463, -49.40195550573813
6270107;UPA SANTO ANTONIO;S;-20.762282600566884, -49.396571510791404
6270093;UPA NORTE;S;-20.777570149719576, -49.40325160420603
2797844;HOSPITAL SANTA HELENA;N;-20.816142902677182, -49.384400786668664
2096781;UBS VILA TONINHO;S;-20.84379448075124, -49.34513060791007
2097125;LABORCLIN;N;-20.820926567977555, -49.389634675368406
2798298;SANTA CASA DE MISERICORDIA;S;-20.80379773122758, -49.386651100162645
2097028;UBS PARQUE INDUSTRIAL;S;-20.797898010517216, -49.386546461877664
4510968;TELEMEDICINA SJRP;S;-20.79807380231693, -49.37779423557674
2096986;UBS VETORAZZO;S;-20.797574006322655, -49.41212546317031
2096862;UBS TALHADO;S;-20.709393633033308, -49.29480035220496
6270123;PRONTO SOCORRO VILA TONINHO;S;-20.843960013690264, -49.34458789202489
2096919;UBS SAO DEOCLECIANO;S;-20.79163808266322, -49.34400207929699
2804832;ULTRA X;N;-20.81791798769489, -49.387042302975416
2096846;UBS ANCHIETA;S;-20.785649619706145, -49.37273117536958
2096749;UBS CENTRAL;S;-20.80812528998133, -49.37526957219867
6383106;UBS CAIC CRISTO REI;S;-20.825328488869996, -49.35193230242716
2705680;UBS SANTO ANTONIO;S;-20.76204461658851, -49.39644000420655
2097087;UBS SOLIDERIEDADE;S;-20.748589633354324, -49.36214232900996
2758288;UBS ESTORIL HIGIENOPOLIS;S;-20.839627080754436, -49.38336817536786
2097109;UBS CIDADANIA;S;-20.75191724692696, -49.406029252651166
2705451;LABORARIO DR TAJARA;N;-20.845710848015706, -49.394628804203585
3409740;UBS JARDIM MARIA LUCIA;S;-20.76851212736132, -49.41035469071481
2096935;UBS SOLO SAGRADO;S;-20.780126180799286, -49.409625033041955
4361725;LABORATORIO AUSTA;N;-20.823636296325923, -49.36531896187686
2096838;UBS ELDORADO;S;-20.789661703491888, -49.402217113815006
2096927;UBS VILA MAYOR;S;-20.78203866566343, -49.38708768886111
7751494;UBS LEALDADE E AMIZADE;S;-20.75376517920279, -49.32908469146843
2096994;UBS JARDIM AMERICANO;S;-20.800051069550804, -49.35974457536914
0478849;UBS FRATERNIDADE;S;-20.876547562237626, -49.33630506607725
2096803;UBS GONZAGA DE CAMPOS;S;-20.81164153841066, -49.423847104204775
0478024;UBS LUZ DA ESPERANCA;S;-20.773062637986, -49.31731792332015
6410367;UBS JARDIM GABRIELA;S;-20.773062637986, -49.31731792332015
2096978;UBS SAO FRANCISCO;S;-20.84499801554194, -49.378185093877036
2036991;AGENCIA TRANSFUSIONAL DA SANTA CASA DE SAO JOSE DO RIO PRETO;N;-20.803804327596527, -49.38666180627313
7182651;UBS PARQUE NOVA ESPERANCA;S;-20.740794012716666, -49.41009874419126
2097095;UBS JARDIM SIMOES RENASCER;S;-20.76823887701267, -49.38435942044422
3850757;UBS CIDADE JARDIM;S;-20.847644108094848, -49.36197432025753
2096757;UBS ENGENHEIRO SCHIMIT;S;-20.86820595690288, -49.30692314374778
2097001;UBS VILA ELVIRA;S;-20.815027493860434, -49.36334066003575
2096811;AMBULATORIO MUNICIPAL;S;-20.814086779083574, -49.378446813585526
2096943;UBS JOAO PAULO II;S;-20.775905314730867, -49.3628874380387
6252869;AUSTACOR;N;-20.82287456116996, -49.36535959669404
6236596;HOSPITAL ESTADUAL JOAO PAULO II;S;-20.80683446734871, -49.35978534681226
9732721;USI AUSTA;N;-20.82208874225746, -49.36449949545809
3745546;HOSPITAL LAR NOSSA SENHORA DAS GRACAS NA PROVINDENCIA DE DEUS;N;-20.81743991887814, -49.37910508440026
2705443;;;
2705389;HEMAT SAO JOSE DO RIO PRETO;N;-20.8186005040761, -49.38703462514706
9579435;ULTRA X MEDICINA DIAGNOSTICA;N;-20.802832832083972, -49.387718390486576
4648285;TELE UPA;S;-20.825594064139533, -49.38278041531539
6491642;CAE SAD;S;-20.798085421108098, -49.37779921634537
2793350;ULTRAX SANTA CASA ;N;-20.802827364845154, -49.38772274289197
9383190;CASSI SAO JOSE DO RIO PRETO;N;-20.815261477366427, -49.4006451002583
3529282;HOSPITAL MUNICIPAL DOMINGO MARCOLINO BRAILE FUNFARME;S;-20.790203564244123, -49.41314166175536
0876720;SECONCI;N;-20.819851263292026, -49.38386687336585
2037068;IAMSPE SAO JOSE DO RIO PRETO;N;-20.83763545409754, -49.36531850464348
4198832;POSTO DE COLETA LABORATORIO TAJARA UNIDADE DAMHA;N;-20.804759134954946, -49.348591159421915
9661344;HEMAT POSTO DE COLETA BENEFICIENCIA PORTUGUESA;N;-20.82245866878279, -49.39023526609395
5776643;A DE CARVALHO CLINICA;N;-20.808895372745347, -49.384872774623496
2080761;HOSPITAL DO CORACAO DO IMC;N;-20.82264494251991, -49.39146627705643
2097052;CAPS AD NORTE;S;-20.773018697184675, -49.37332928991193
2804794;;;
2705036;BANCO DE SANGUE BENEFICIENCIA PORTUGUESA;N;-20.822297483386148, -49.39022817290742
9204105;UNIMED SAO JOSE DO RIO PRETO EMD PREV;N;-20.84028630620094, -49.41103238540299
2705648;SECRETARIA MUNICIPAL DE SAUDE;S;-20.825852459092765, -49.38285366356918
9320369;CLINICA DRA CLAUDIA HELENA BORGES RIBEIRO;N;-20.825785928458885, -49.39299070605997
2097036;AMBULATORIO DE DOENCAS CRONICAS TRANSMISSIVEIS;S;-20.7966035031626, -49.379766659343275
2058901;IMC INSTITUTO DE MOLESTIAS CARDIOVASCULARES;N;-20.822571431976083, -49.39094547668326
2096854;UPA CENTRAL;S;-20.81298851734779, -49.37444286600216
2097605;HOSPITAL IELAR;S;-20.813083665559624, -49.391775413159756
2793334;ESPACO SAUDE UNIDADE INFANTIL;N;-20.848406793597228, -49.394110270731204
3404838;PALMEGIANI ROMANIA SERVICOS MEDICOS LTDA;N;-20.822211454831727, -49.36430835367201
6271146;CENTRO DE HEMATOLOGIA E PSIQUIATRIA;N;-20.816185507091223, -49.3959356533212
2073048;INSTITUTO DO CORACAO RIO PRETO;N;-20.84754360710039, -49.39313207378478
